State Name,State Abbreviation ,Year,Food Insecurity Rate (aggregate of counties), Estimated Number Food Insecure Individuals ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Weighted Annual Dollars , Cost Per Meal ,Child Food Insecurity Rate (aggregate of counties), Number Food Insecure Children (aggregate of counties) ,% of children in FI HH with incomes at or below 185% FPL,% of children in FI HH with incomes above 185% FPL,Population
Alabama,AL,2014,0.188,911440,1.3,SNAP,1.85,Other Nutrition Program,0.53,0.16,0.3,466367000.00,2.90,0.26,292330.00,0.73,0.27,4841799
Alabama,AL,2015,0.177,859380,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.18,0.28,450670000.00,2.92,0.24,267040.00,0.73,0.27,4852347
Alabama,AL,2016,0.165,800620,1.3,SNAP,1.85,Other Nutrition Program,0.53,0.16,0.31,406639000.00,2.97,0.23,247140.00,0.71,0.29,4863525
Alabama,AL,2017,0.163,795760,1.3,SNAP,1.85,Other Nutrition Program,0.52,0.16,0.32,404180000.00,2.98,0.22,243880.00,0.72,0.28,4874486
Alabama,AL,2018,0.17,829220,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.16,0.33,423745000.00,3.02,0.23,251800.00,0.76,0.24,4887681
Alaska,AK,2019,0.119,86970,1.3,SNAP,1.85,Other Nutrition Program,0.49,0.15,0.36,53905000.00,3.63,0.16,28160.00,0.72,0.28,731545
Arkansas,AR,2009,0.178,506600,1.3,SNAP,1.85,other nutrition pgm,0.49,0.2,0.3,209177940.00,2.47,0.29,200290.00,0.68,0.32,2896843
Arkansas,AR,2010,0.192,560410,1.3,SNAP,1.85,Other Nutrition Program,0.48,0.22,0.31,231511600.00,2.40,0.28,194460.00,0.71,0.29,2921964
Arkansas,AR,2011,0.197,579200,1.3,SNAP,1.85,Other Nutrition Program,0.52,0.2,0.28,237008030.00,2.51,0.28,198750.00,0.73,0.27,2940667
Arkansas,AR,2012,0.194,573030,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.17,0.29,260570000.00,2.60,0.28,196950.00,0.73,0.27,2952164
Arkansas,AR,2013,0.197,584270,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.17,0.28,273570000.00,2.65,0.28,201820.00,0.76,0.24,2959400
Arkansas,AR,2014,0.191,567250,1.3,SNAP,1.85,Other Nutrition Program,0.53,0.17,0.3,272668000.00,2.72,0.26,185660.00,0.72,0.28,2967392
Arkansas,AR,2015,0.184,549070,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.17,0.27,267757000.00,2.72,0.25,176710.00,0.72,0.28,2978048
Arkansas,AR,2016,0.172,515270,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.16,0.3,246776000.00,2.80,0.23,163800.00,0.72,0.28,2989918
Arkansas,AR,2017,0.173,518960,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.17,0.32,246939000.00,2.79,0.24,167440.00,0.7,0.3,3001345
Arkansas,AR,2018,0.173,521490,1.3,SNAP,1.85,Other Nutrition Program,0.53,0.15,0.32,244364000.00,2.77,0.23,162270.00,0.75,0.25,3009733
Arizona,AZ,2019,0.126,918940,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.63,,0.37,475515000.00,3.03,0.18,288950.00,0.67,0.33,7278717
Arizona,AZ,2009,0.174,1100570,1.85,SNAP,1.85,SNAP,0.62,0,0.38,446958770.00,2.43,0.29,482340.00,0.65,0.35,6343154
Arizona,AZ,2010,0.19,1216900,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.68,0,0.32,502714910.00,2.40,0.29,466010.00,0.71,0.29,6407172
Arizona,AZ,2011,0.191,1237540,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.69,0,0.32,502364990.00,2.49,0.3,478420.00,0.72,0.28,6472643
Arizona,AZ,2012,0.178,1169570,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.69,0,0.31,526731000.00,2.57,0.28,456760.00,0.71,0.29,6554978
Arizona,AZ,2013,0.175,1161390,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.69,0,0.31,561993000.00,2.73,0.28,454460.00,0.72,0.28,6632764
Arizona,AZ,2014,0.171,1150650,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.67,,0.33,563767000.00,2.78,0.27,434840.00,0.68,0.32,6730413
Arizona,AZ,2015,0.158,1078190,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.69,,0.31,543084000.00,2.81,0.24,389850.00,0.69,0.31,6829676
Arizona,AZ,2016,0.149,1033590,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.67,,0.33,506275000.00,2.87,0.23,370960.00,0.68,0.32,6941072
Arizona,AZ,2017,0.14,979170,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.65,,0.35,482358000.00,2.89,0.21,348550.00,0.67,0.33,7044008
Arizona,AZ,2018,0.131,937300,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.68,,0.32,465259000.00,2.93,0.19,311390.00,0.69,0.31,7158024
Arkansas,AR,2019,0.166,499950,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.16,0.33,233680000.00,2.73,0.21,149670.00,0.75,0.25,3017804
California,CA,2009,0.167,6053470,1.3,SNAP,1.85,other nutrition pgm,0.48,0.19,0.33,2671625540.00,2.64,0.27,2580080.00,0.63,0.37,36961229
California,CA,2010,0.171,6403510,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.21,0.28,2810696200.00,2.55,0.27,2453770.00,0.67,0.33,37319502
California,CA,2011,0.174,6568450,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.19,0.27,2923387080.00,2.73,0.27,2487750.00,0.71,0.29,37638369
California,CA,2012,0.162,6179590,1.3,SNAP,1.85,Other Nutrition Program,0.58,0.16,0.26,3032920000.00,2.80,0.26,2426510.00,0.71,0.29,37948800
California,CA,2013,0.15,5731740,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.78,0,0.22,3037087000.00,2.99,0.25,2316570.00,0.71,0.29,38260787
California,CA,2014,0.139,5401770,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.79,,0.21,2896128000.00,3.04,0.23,2099120.00,0.68,0.32,38596972
California,CA,2015,0.125,4885220,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.77,,0.23,2750484000.00,3.14,0.21,1890050.00,0.68,0.32,38918045
California,CA,2016,0.117,4574710,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.77,,0.23,2473458000.00,3.16,0.19,1731270.00,0.67,0.33,39167117
California,CA,2017,0.11,4354400,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.75,,0.25,2381146000.00,3.20,0.18,1638430.00,0.63,0.37,39358497
California,CA,2018,0.108,4291830,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.76,,0.24,2385968000.00,3.28,0.15,1362340.00,0.71,0.29,39461588
California,CA,2019,0.102,4011960,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.72,,0.28,2233636000.00,3.26,0.14,1205260.00,0.68,0.32,39512223
Colorado,CO,2009,0.143,694760,1.3,SNAP,1.85,other nutrition pgm,0.42,0.16,0.42,297484150.00,2.56,0.23,271660.00,0.57,0.43,4972195
Colorado,CO,2010,0.155,783380,1.3,SNAP,1.85,Other Nutrition Program,0.45,0.18,0.37,327668270.00,2.43,0.22,268650.00,0.62,0.38,5047349
Colorado,CO,2011,0.155,795300,1.3,SNAP,1.85,Other Nutrition Program,0.46,0.18,0.36,352663620.00,2.72,0.22,266090.00,0.64,0.36,5121108
Colorado,CO,2012,0.146,755730,1.3,SNAP,1.85,Other Nutrition Program,0.48,0.16,0.36,375542000.00,2.84,0.21,262110.00,0.64,0.36,5192647
Colorado,CO,2013,0.139,733080,1.3,SNAP,1.85,Other Nutrition Program,0.49,0.16,0.35,386399000.00,2.98,0.21,253000.00,0.65,0.35,5269035
Colorado,CO,2014,0.129,692840,1.3,SNAP,1.85,Other Nutrition Program,0.48,0.16,0.37,372418000.00,3.04,0.18,226350.00,0.64,0.36,5350101
Colorado,CO,2015,0.122,665220,1.3,SNAP,1.85,Other Nutrition Program,0.47,0.17,0.36,368403000.00,3.09,0.17,207650.00,0.63,0.37,5450623
Colorado,CO,2016,0.113,627480,1.3,SNAP,1.85,Other Nutrition Program,0.47,0.15,0.38,342520000.00,3.19,0.15,190780.00,0.61,0.39,5539215
Colorado,CO,2017,0.106,596150,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.65,,0.35,329732000.00,3.24,0.14,177360.00,0.59,0.41,5611885
Colorado,CO,2018,0.099,566490,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.66,,0.34,315489000.00,3.29,0.12,155120.00,0.7,0.3,5691287
Colorado,CO,2019,0.098,566440,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.61,,0.4,324827000.00,3.35,0.12,147120.00,0.67,0.33,5758736
Connecticut,CT,2009,0.123,428090,1.85,SNAP,1.85,SNAP,0.48,0,0.52,199287270.00,2.79,0.19,155560.00,0.5,0.5,3561807
Connecticut,CT,2010,0.138,493020,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.52,0,0.48,231676950.00,2.73,0.19,151530.00,0.55,0.45,3579114
Connecticut,CT,2011,0.145,520350,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.54,0,0.46,239224380.00,2.82,0.2,157550.00,0.58,0.42,3588283
Connecticut,CT,2012,0.139,498460,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.54,0,0.46,255104000.00,2.92,0.2,155380.00,0.57,0.43,3594547
Connecticut,CT,2013,0.136,488350,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.55,0,0.45,253481000.00,2.93,0.19,152990.00,0.59,0.41,3594841
Connecticut,CT,2014,0.131,472540,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.56,,0.44,254876000.00,3.06,0.18,140290.00,0.62,0.38,3594524
Connecticut,CT,2015,0.122,437530,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.58,,0.42,244830000.00,3.12,0.17,127400.00,0.6,0.4,3587122
Connecticut,CT,2016,0.116,414730,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.57,,0.43,226249000.00,3.19,0.16,117380.00,0.63,0.37,3578141
Connecticut,CT,2017,0.113,406810,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.56,,0.44,227321000.00,3.27,0.16,115240.00,0.63,0.37,3573297
Connecticut,CT,2018,0.119,426620,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.57,,0.43,244114000.00,3.38,0.16,117660.00,0.64,0.36,3571520
Connecticut,CT,2019,0.12,428800,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.55,,0.45,248587000.00,3.39,0.15,109480.00,0.64,0.36,3565287
"Washington, D.C.",DC,2009,0.158,93180,2,SNAP,2,SNAP,0.63,0,0.37,53026060.00,3.41,0.32,36870.00,0.64,0.36,592228
"Washington, D.C.",DC,2010,0.165,99490,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.6,0,0.4,58396850.00,3.41,0.31,30850.00,0.67,0.33,605226
"Washington, D.C.",DC,2011,0.157,97120,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.61,0,0.39,56524620.00,3.57,0.3,31460.00,0.63,0.37,619800
"Washington, D.C.",DC,2012,0.145,91540,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.7,0,0.3,60483000.00,3.77,0.28,30600.00,0.68,0.32,634924
"Washington, D.C.",DC,2013,0.15,96940,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.73,0,0.27,60267000.00,3.51,0.31,32100.00,0.7,0.3,650581
"Washington, D.C.",DC,2014,0.138,90900,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.73,,0.27,56025000.00,3.49,0.26,29820.00,0.68,0.32,662328
"Washington, D.C.",DC,2015,0.126,84540,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.74,,0.26,54660000.00,3.61,0.24,27800.00,0.72,0.28,675400
"Washington, D.C.",DC,2016,0.124,84380,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.72,,0.28,52881000.00,3.67,0.22,26800.00,0.69,0.31,685815
"Washington, D.C.",DC,2017,0.11,76550,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.72,,0.28,51543000.00,3.95,0.21,26450.00,0.71,0.29,694906
"Washington, D.C.",DC,2018,0.116,81400,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.7,,0.3,56189000.00,4.08,0.19,24280.00,0.74,0.26,701547
Delaware,DE,2019,0.117,114190,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.57,,0.43,62002000.00,3.18,0.16,32830.00,0.64,0.36,973764
Delaware,DE,2009,0.122,105810,2,SNAP,2,SNAP,0.55,0,0.45,46697960.00,2.64,0.2,40520.00,0.56,0.44,891730
Delaware,DE,2010,0.128,114940,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.57,0,0.43,52033440.00,2.63,0.18,37240.00,0.63,0.37,899593
Delaware,DE,2011,0.132,120020,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.59,0,0.41,53808030.00,2.75,0.18,36860.00,0.71,0.29,907381
Delaware,DE,2012,0.13,119500,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.65,0,0.35,60381000.00,2.89,0.18,37430.00,0.74,0.26,915179
Delaware,DE,2013,0.132,122310,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.66,0,0.34,62711000.00,2.90,0.19,39780.00,0.71,0.29,923576
Delaware,DE,2014,0.126,117970,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.64,,0.36,62194000.00,2.99,0.18,36380.00,0.67,0.33,932487
Delaware,DE,2015,0.121,114060,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.67,,0.33,62102000.00,3.04,0.17,35310.00,0.7,0.3,941252
Delaware,DE,2016,0.12,114370,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.64,,0.36,60902000.00,3.12,0.17,34240.00,0.64,0.36,948921
Delaware,DE,2017,0.122,117320,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.66,,0.34,62450000.00,3.12,0.17,34750.00,0.69,0.31,956823
Delaware,DE,2018,0.126,121850,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.64,,0.36,65663000.00,3.18,0.19,38680.00,0.69,0.31,965479
Florida,FL,2019,0.12,2567300,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.68,,0.32,1440472000.00,3.28,0.17,723540.00,0.65,0.35,21477737
Florida,FL,2009,0.171,3115650,2,SNAP,2,SNAP,0.63,0,0.37,1364476980.00,2.62,0.28,1116260.00,0.61,0.39,18652644
Florida,FL,2010,0.192,3609200,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.67,0,0.33,1627675680.00,2.62,0.28,1117730.00,0.67,0.33,18845537
Florida,FL,2011,0.187,3558910,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.68,0,0.32,1601352210.00,2.76,0.28,1118050.00,0.69,0.31,19053237
Florida,FL,2012,0.179,3448220,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.74,0,0.27,1737045000.00,2.88,0.28,1103850.00,0.7,0.3,19297822
Florida,FL,2013,0.17,3315550,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.73,0,0.27,1714988000.00,2.92,0.27,1071760.00,0.7,0.3,19545621
Florida,FL,2014,0.162,3227600,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.75,,0.25,1749270000.00,3.07,0.25,1007870.00,0.7,0.3,19845911
Florida,FL,2015,0.151,3056280,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.73,,0.27,1702052000.00,3.11,0.23,930730.00,0.71,0.29,20209042
Florida,FL,2016,0.139,2871650,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.72,,0.28,1557049000.00,3.17,0.21,857150.00,0.69,0.31,20613477
Florida,FL,2017,0.134,2806770,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.72,,0.28,1540091000.00,3.22,0.2,854880.00,0.68,0.32,20963613
Florida,FL,2018,0.13,2768480,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.72,,0.28,1540830000.00,3.29,0.19,819370.00,0.65,0.35,21244317
Georgia,GA,2019,0.12,1279310,1.3,SNAP,1.85,Other Nutrition Program,0.46,0.15,0.39,664862000.00,3.04,0.15,377400.00,0.67,0.33,10617423
Georgia,GA,2009,0.178,1693710,1.3,SNAP,1.85,other nutrition pgm,0.45,0.19,0.36,705092200.00,2.49,0.28,702520.00,0.61,0.39,9620846
Georgia,GA,2010,0.199,1936470,1.3,SNAP,1.85,Other Nutrition Program,0.46,0.21,0.33,829976420.00,2.49,0.28,694530.00,0.67,0.33,9711881
Georgia,GA,2011,0.2,1965340,1.3,SNAP,1.85,Other Nutrition Program,0.53,0.19,0.28,829847390.00,2.59,0.29,707390.00,0.7,0.3,9802431
Georgia,GA,2012,0.189,1874590,1.3,SNAP,1.85,Other Nutrition Program,0.55,0.17,0.28,887782000.00,2.70,0.28,700780.00,0.71,0.29,9901430
Georgia,GA,2013,0.187,1871790,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.17,0.28,910560000.00,2.75,0.28,700870.00,0.73,0.27,9972479
Georgia,GA,2014,0.177,1783450,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.16,0.3,895589000.00,2.84,0.26,650970.00,0.7,0.3,10067278
Georgia,GA,2015,0.162,1659710,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.19,0.27,858223000.00,2.88,0.23,580830.00,0.71,0.29,10178447
Georgia,GA,2016,0.151,1561360,1.3,SNAP,1.85,Other Nutrition Program,0.53,0.15,0.32,781043000.00,2.93,0.21,523470.00,0.69,0.31,10301890
Georgia,GA,2017,0.144,1501680,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.16,0.33,749671000.00,2.93,0.2,503370.00,0.68,0.32,10410330
Georgia,GA,2018,0.125,1318500,1.3,SNAP,1.85,Other Nutrition Program,0.48,0.16,0.36,667166000.00,2.99,0.16,405380.00,0.68,0.32,10511131
Hawaii,HI,2019,0.115,162220,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.48,,0.52,97005000.00,3.50,0.18,54700.00,0.47,0.53,1415872
Hawaii,HI,2009,0.127,162420,2,SNAP,2,SNAP,0.53,0,0.47,n/a,n/a,0.21,60250.00,0.45,0.55,1346717
Hawaii,HI,2010,0.14,190300,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.52,0,0.48,85166300.00,2.60,0.22,64430.00,0.47,0.53,1363963
Hawaii,HI,2011,0.146,200100,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.52,0,0.48,87426410.00,2.68,0.24,71020.00,0.52,0.48,1379329
Hawaii,HI,2012,0.142,197280,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.56,0,0.44,98954000.00,2.86,0.24,72390.00,0.52,0.48,1394804
Hawaii,HI,2013,0.138,193940,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.58,0,0.42,102567000.00,2.99,0.22,68450.00,0.5,0.5,1408243
Hawaii,HI,2014,0.137,194610,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.57,,0.43,106454000.00,3.10,0.22,67690.00,0.47,0.53,1414538
Hawaii,HI,2015,0.128,182600,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.54,,0.46,105633000.00,3.23,0.2,62600.00,0.44,0.56,1422052
Hawaii,HI,2016,0.118,168030,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.56,,0.45,93916000.00,3.27,0.18,54650.00,0.46,0.54,1427559
Hawaii,HI,2017,0.113,161270,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.52,,0.48,90737000.00,3.30,0.18,53540.00,0.43,0.57,1424393
Hawaii,HI,2018,0.112,159040,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.53,,0.47,91220000.00,3.39,0.18,55710.00,0.49,0.51,1420593
Idaho,ID,2019,0.1,179580,1.3,SNAP,1.85,Other Nutrition Program,0.47,0.19,0.33,94193000.00,3.07,0.11,49310.00,0.74,0.26,1787065
Iowa,IA,2009,0.128,382510,1.6,SNAP,1.85,other nutrition pgm,0.5,0.07,0.43,151122920.00,2.36,0.21,146000.00,0.55,0.45,3032870
Iowa,IA,2010,0.134,408280,1.6,SNAP,1.85,Other Nutrition Program,0.49,0.1,0.42,165151150.00,2.35,0.2,138340.00,0.57,0.43,3050745
Iowa,IA,2011,0.129,395620,1.6,SNAP,1.85,Other Nutrition Program,0.53,0.09,0.38,152212750.00,2.36,0.19,137120.00,0.6,0.4,3066336
Iowa,IA,2012,0.127,389730,1.6,SNAP,1.85,Other Nutrition Program,0.52,0.08,0.4,168364000.00,2.47,0.19,139200.00,0.56,0.44,3076190
Iowa,IA,2013,0.126,389250,1.6,SNAP,1.85,Other Nutrition Program,0.52,0.08,0.4,173068000.00,2.51,0.19,139850.00,0.59,0.41,3092997
Iowa,IA,2014,0.124,384830,1.6,SNAP,1.85,Other Nutrition Program,0.53,0.05,0.42,177919000.00,2.62,0.18,129270.00,0.57,0.43,3109350
Iowa,IA,2015,0.12,376240,1.6,SNAP,1.85,Other Nutrition Program,0.54,0.08,0.38,179954000.00,2.67,0.17,121550.00,0.6,0.4,3120960
Iowa,IA,2016,0.115,360540,1.6,SNAP,1.85,Other Nutrition Program,0.53,0.04,0.43,167753000.00,2.72,0.16,115890.00,0.57,0.43,3131371
Iowa,IA,2017,0.109,341890,1.6,SNAP,1.85,Other Nutrition Program,0.52,0.05,0.43,157367000.00,2.70,0.15,111520.00,0.58,0.42,3141550
Iowa,IA,2018,0.097,305100,1.6,SNAP,1.85,Other Nutrition Program,0.53,0.05,0.42,144058000.00,2.79,0.14,102190.00,0.63,0.37,3148618
Illinois,IL,2019,0.096,1211410,1.65,SNAP,1.85,Other Nutrition Program,0.58,0.11,0.31,620329000.00,3.00,0.12,336810.00,0.67,0.33,12671821
Idaho,ID,2009,0.158,235970,1.3,SNAP,1.85,other nutrition pgm,0.43,0.19,0.37,105844830.00,2.68,0.23,95150.00,0.63,0.37,1554439
Idaho,ID,2010,0.17,267620,1.3,SNAP,1.85,Other Nutrition Program,0.45,0.21,0.34,123915740.00,2.69,0.23,96660.00,0.65,0.35,1570746
Idaho,ID,2011,0.173,274230,1.3,SNAP,1.85,Other Nutrition Program,0.46,0.23,0.31,117579470.00,2.63,0.23,96090.00,0.67,0.33,1583910
Idaho,ID,2012,0.158,252060,1.3,SNAP,1.85,Other Nutrition Program,0.5,0.2,0.3,118756000.00,2.69,0.22,91730.00,0.68,0.32,1595324
Idaho,ID,2013,0.156,250830,1.3,SNAP,1.85,Other Nutrition Program,0.5,0.2,0.3,123492000.00,2.78,0.21,90240.00,0.72,0.28,1611206
Idaho,ID,2014,0.147,241080,1.3,SNAP,1.85,Other Nutrition Program,0.49,0.19,0.32,121650000.00,2.86,0.19,83110.00,0.67,0.33,1631112
